total_score,Grid_score,Transform_accept_ratio,angle_constraint,atom_pair_constraint,chainbreak,classic_grid_Y,classic_grid_Z,coordinate_constraint,dihedral_constraint,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,if_Y_angle_constraint,if_Y_atom_pair_constraint,if_Y_chainbreak,if_Y_coordinate_constraint,if_Y_dihedral_constraint,if_Y_dslf_fa13,if_Y_fa_atr,if_Y_fa_dun,if_Y_fa_elec,if_Y_fa_intra_rep,if_Y_fa_intra_sol_xover4,if_Y_fa_rep,if_Y_fa_sol,if_Y_hbond_bb_sc,if_Y_hbond_lr_bb,if_Y_hbond_sc,if_Y_hbond_sr_bb,if_Y_lk_ball_wtd,if_Y_metalbinding_constraint,if_Y_omega,if_Y_p_aa_pp,if_Y_pro_close,if_Y_rama_prepro,if_Y_ref,if_Y_res_type_constraint,if_Y_yhh_planarity,if_Z_angle_constraint,if_Z_atom_pair_constraint,if_Z_chainbreak,if_Z_coordinate_constraint,if_Z_dihedral_constraint,if_Z_dslf_fa13,if_Z_fa_atr,if_Z_fa_dun,if_Z_fa_elec,if_Z_fa_intra_rep,if_Z_fa_intra_sol_xover4,if_Z_fa_rep,if_Z_fa_sol,if_Z_hbond_bb_sc,if_Z_hbond_lr_bb,if_Z_hbond_sc,if_Z_hbond_sr_bb,if_Z_lk_ball_wtd,if_Z_metalbinding_constraint,if_Z_omega,if_Z_p_aa_pp,if_Z_pro_close,if_Z_rama_prepro,if_Z_ref,if_Z_res_type_constraint,if_Z_yhh_planarity,interface_delta_Y,interface_delta_Z,ligand_is_touching_Y,ligand_is_touching_Z,lk_ball_wtd,metalbinding_constraint,omega,p_aa_pp,pro_close,rama_prepro,ref,res_type_constraint,total_score_Y,total_score_Z,yhh_planarity,description
-550.367,-30.0,0.636,0.0,29.581,0.0,-38.0,-30.0,30.225,0.0,0.0,-2071.206,567.012,-609.061,4.685,94.546,328.356,1304.583,-42.439,-83.522,-39.402,-119.98,0.0,-15732.734,0.0,0.0,0.0,0.0,-24.895,0.0,-44.051,0.0,0.0,11.683,42.166,-1.429,0.0,-1.359,0.0,-0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31445.553,0.0,0.0,0.0,0.0,-27.041,0.0,-7.26,0.0,0.0,5.216,26.316,-0.782,0.0,-0.544,0.0,-0.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15750.952,-31450.3,1.0,1.0,-52.58,0.0,43.002,-55.641,1.825,19.228,100.346,0.0,-38.0,-30.0,0.075,production_canonical_csts_0052
-547.948,-31.0,0.655,0.0,27.723,0.0,-42.0,-30.0,16.254,0.0,0.0,-2091.406,569.856,-569.532,4.562,90.199,319.113,1325.361,-43.042,-82.726,-37.436,-120.85,0.0,-15771.899,0.0,0.0,0.0,0.0,-34.205,0.0,-4.786,0.0,0.0,9.695,53.116,-1.001,0.0,-2.44,0.0,-0.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31421.093,0.0,0.0,0.0,0.0,-30.121,0.0,0.821,0.0,0.0,17.329,28.125,0.0,0.0,0.0,0.0,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15752.306,-31405.808,1.0,1.0,-55.496,0.0,36.951,-55.416,1.881,15.562,100.346,0.0,-42.0,-30.0,0.147,production_canonical_csts_0063
-547.043,-31.0,0.642,0.0,17.219,0.0,-37.0,-32.0,30.206,0.0,0.0,-2085.312,571.417,-571.242,4.696,90.486,311.054,1323.46,-44.395,-81.497,-39.574,-119.564,0.0,-15772.129,0.0,0.0,0.0,0.0,-29.746,0.0,-7.236,0.0,0.0,8.991,52.385,0.0,0.0,-2.386,0.0,-0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31448.875,0.0,0.0,0.0,0.0,-30.448,0.0,-5.143,0.0,0.0,17.535,32.983,-0.692,0.0,0.0,0.0,-0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15751.052,-31435.054,1.0,1.0,-54.221,0.0,37.938,-55.662,1.954,15.508,100.346,0.0,-37.0,-32.0,0.141,production_canonical_csts_0037
-535.781,-31.0,0.687,0.0,17.911,0.0,-41.0,-29.0,32.101,0.0,0.0,-2088.783,576.371,-587.219,4.576,89.064,335.256,1324.138,-44.665,-82.651,-38.891,-119.665,0.0,-15738.058,0.0,0.0,0.0,0.0,-27.424,0.0,-25.623,0.0,0.0,12.857,49.013,0.0,0.0,0.0,0.0,-2.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31500.546,0.0,0.0,0.0,0.0,-32.123,0.0,3.565,0.0,0.0,19.345,36.06,-0.302,0.0,-0.565,0.0,-1.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15731.986,-31475.921,1.0,1.0,-56.621,0.0,37.039,-53.982,2.006,17.789,100.346,0.0,-41.0,-29.0,0.098,production_canonical_csts_0069
-533.084,-31.0,0.655,0.0,24.089,0.0,-40.0,-31.0,15.492,0.0,0.0,-2097.867,574.208,-572.751,4.63,109.746,311.392,1340.591,-46.721,-83.553,-36.801,-121.044,0.0,-15769.613,0.0,0.0,0.0,0.0,-46.422,0.0,-9.145,0.0,0.0,15.103,74.306,-2.081,0.0,-2.597,0.0,-0.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31425.032,0.0,0.0,0.0,0.0,-30.598,0.0,-6.728,0.0,0.0,11.058,29.416,0.0,0.0,-1.043,0.0,-0.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15741.059,-31423.485,1.0,1.0,-54.231,0.0,38.251,-55.025,1.896,14.15,100.346,0.0,-40.0,-31.0,0.115,production_canonical_csts_0088
-531.011,-31.0,0.645,0.0,42.328,0.0,-39.0,-30.0,26.933,0.0,0.0,-2102.342,562.72,-620.856,4.51,97.734,346.745,1333.792,-42.477,-83.118,-33.065,-120.463,0.0,-15769.907,0.0,0.0,0.0,0.0,-44.089,0.0,-65.902,0.0,0.0,37.822,62.169,0.0,0.0,-0.25,0.0,-0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31371.414,0.0,0.0,0.0,0.0,-27.106,0.0,-1.833,0.0,0.0,10.061,25.664,0.0,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15780.289,-31364.394,1.0,1.0,-52.845,0.0,46.136,-55.026,1.844,15.999,100.346,0.0,-39.0,-30.0,0.091,production_canonical_csts_0027
-526.89,-31.0,0.649,0.0,26.911,0.0,-41.0,-28.0,38.921,0.0,0.0,-2086.251,568.795,-606.802,4.753,90.205,339.801,1322.785,-40.975,-83.648,-39.66,-120.48,0.0,-15730.824,0.0,0.0,0.0,0.0,-24.48,0.0,-36.795,0.0,0.0,8.163,46.397,0.0,0.0,-1.682,0.0,-0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31524.184,0.0,0.0,0.0,0.0,-31.15,0.0,-6.251,0.0,0.0,18.893,37.402,0.0,0.0,-0.464,0.0,-0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15740.219,-31506.607,1.0,1.0,-53.669,0.0,41.485,-53.93,2.145,22.264,100.346,0.0,-41.0,-28.0,0.116,production_canonical_csts_0046
-519.566,-30.0,0.659,0.0,16.985,0.0,-42.0,-30.0,42.166,0.0,0.0,-2091.358,575.217,-574.529,4.704,93.734,323.522,1325.371,-42.31,-81.929,-38.313,-119.071,0.0,-15770.192,0.0,0.0,0.0,0.0,-36.173,0.0,-11.068,0.0,0.0,13.509,57.506,0.0,0.0,-1.817,0.0,-0.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31446.694,0.0,0.0,0.0,0.0,-31.992,0.0,-6.487,0.0,0.0,21.207,35.036,-0.961,0.0,0.0,0.0,-0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15748.901,-31429.997,1.0,1.0,-54.869,0.0,36.709,-57.263,1.71,19.481,100.346,0.0,-42.0,-30.0,0.128,production_canonical_csts_0044
-515.097,-32.0,0.671,0.0,19.762,0.0,-42.0,-29.0,41.199,0.0,0.0,-2102.182,591.803,-585.304,5.23,96.035,324.357,1334.634,-42.913,-82.511,-37.692,-120.916,0.0,-15770.004,0.0,0.0,0.0,0.0,-36.213,0.0,-10.892,0.0,0.0,12.179,57.825,-0.416,0.0,-0.97,0.0,-0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31374.953,0.0,0.0,0.0,0.0,-31.676,0.0,-3.146,0.0,0.0,19.546,27.406,-0.305,0.0,0.0,0.0,-0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15748.964,-31363.339,1.0,1.0,-53.525,0.0,35.916,-55.503,2.067,13.959,100.346,0.0,-42.0,-29.0,0.14,production_canonical_csts_0032
-510.527,-32.0,0.667,0.0,19.298,0.0,-38.0,-30.0,47.25,0.0,0.0,-2090.427,577.086,-591.134,4.648,90.621,333.397,1325.901,-44.313,-82.727,-40.59,-118.926,0.0,-15764.637,0.0,0.0,0.0,0.0,-28.756,0.0,-36.172,0.0,0.0,10.706,52.884,0.0,0.0,-4.197,0.0,-0.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31473.033,0.0,0.0,0.0,0.0,-32.073,0.0,-3.549,0.0,0.0,26.958,33.026,-0.409,0.0,0.0,0.0,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15770.817,-31450.63,1.0,1.0,-52.542,0.0,41.097,-51.977,2.288,20.054,100.346,0.0,-38.0,-30.0,0.122,production_canonical_csts_0085
